date,headline,description,content,url,source,published_at,sentiment,sentiment_score,positive_confidence,negative_confidence,neutral_confidence,stock_movement,volume,price_change,market_cap,company,query
2025-05-16,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Financial Times analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/34071,Financial Times,2025-05-16T13:23:50Z,positive,0.7977854281978609,0.717764842157755,0.18152045412359732,0.10071470371864763,flat,26827438,-0.11133608342680523,256963632076.5871,Intel Corporation,AMZN
2025-05-30,"Tesla beats quarterly expectations, stock rallies 15%","Tesla beats quarterly expectations, stock rallies 15% according to Financial Times analysis.","Tesla beats quarterly expectations, stock rallies 15%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://financialtimes.com/article/26907,Financial Times,2025-05-30T13:23:50Z,positive,0.8045708164592633,0.7708416000822939,0.1472548198839994,0.0819035800337067,flat,40902996,-0.09931948107835063,557902087724.8853,Netflix Inc.,MSFT
2025-06-12,AMD announces new graphics cards,AMD announces new graphics cards according to TheStreet analysis.,AMD announces new graphics cards. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://thestreet.com/article/74291,TheStreet,2025-06-12T13:23:50Z,neutral,0.5571184485888097,0.1797939612091861,0.3112858120855993,0.5089202267052146,flat,16608046,0.003497104064178358,314798387749.67126,Advanced Micro Devices,AAPL
2025-07-04,"Tesla beats quarterly expectations, stock rallies 15%","Tesla beats quarterly expectations, stock rallies 15% according to Zacks analysis.","Tesla beats quarterly expectations, stock rallies 15%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://zacks.com/article/15126,Zacks,2025-07-04T13:23:50Z,positive,0.7128047970010131,0.6892929854994846,0.14239119731581754,0.16831581718469782,up,41968150,0.009379726192060206,1441311606721.5383,IBM Corporation,TSLA
2025-05-17,Adobe releases software update,Adobe releases software update according to Wall Street Journal analysis.,Adobe releases software update. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://wallstreetjournal.com/article/16229,Wall Street Journal,2025-05-17T13:23:50Z,neutral,0.35914164582007824,0.32098685007507965,0.23278694676461925,0.44622620316030104,up,48756479,-0.06922703071518571,755191042046.1406,Advanced Micro Devices,MSFT
2025-07-22,AMD stock falls on supply chain issues,AMD stock falls on supply chain issues according to Barron's analysis.,AMD stock falls on supply chain issues. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://barron's.com/article/33275,Barron's,2025-07-22T13:23:50Z,negative,0.19219098242916682,0.1140002538499923,0.7485481624252683,0.13745158372473937,down,27089699,0.011131962545564339,1174095394923.7373,Advanced Micro Devices,TSLA
2025-05-21,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Wall Street Journal analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://wallstreetjournal.com/article/37139,Wall Street Journal,2025-05-21T13:23:50Z,positive,0.8437751723994804,0.6766655041177765,0.10635553334929816,0.21697896253292528,up,13248352,-0.14773969105977758,451440262627.34393,Intel Corporation,NFLX
2025-05-12,JPMorgan Chase posts record profits,JPMorgan Chase posts record profits according to Financial Times analysis.,JPMorgan Chase posts record profits. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://financialtimes.com/article/94471,Financial Times,2025-05-12T13:23:50Z,positive,0.8073534168710764,0.6939705154942922,0.23654042202622397,0.06948906247948375,up,32055169,0.02279952534169799,1834873830557.9778,Advanced Micro Devices,NFLX
2025-07-10,Microsoft shares fall on weak guidance,Microsoft shares fall on weak guidance according to Reuters analysis.,Microsoft shares fall on weak guidance. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/77584,Reuters,2025-07-10T13:23:50Z,negative,0.22148380684096997,0.1034860291498607,0.8111749024906254,0.08533906835951398,down,49014453,0.06328574365102449,399814347749.3012,NVIDIA Corporation,MSFT
2025-07-20,"Netflix loses subscribers, stock crashes 25%","Netflix loses subscribers, stock crashes 25% according to Benzinga analysis.","Netflix loses subscribers, stock crashes 25%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://benzinga.com/article/15287,Benzinga,2025-07-20T13:23:50Z,negative,0.0963088145822607,0.15131687379424055,0.7862176781833784,0.06246544802238105,down,37418225,-0.013719608334270106,1097657632758.3683,Microsoft Corporation,MSFT
2025-06-10,Google parent Alphabet reports stellar earnings,Google parent Alphabet reports stellar earnings according to Zacks analysis.,Google parent Alphabet reports stellar earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://zacks.com/article/80792,Zacks,2025-06-10T13:23:50Z,positive,0.6850088192425045,0.6612578087652102,0.1525990054654049,0.18614318576938496,up,33874288,0.10521823800493643,1492203076571.8875,Meta Platforms,MSFT
2025-05-06,"Tesla beats quarterly expectations, stock rallies 15%","Tesla beats quarterly expectations, stock rallies 15% according to Yahoo Finance analysis.","Tesla beats quarterly expectations, stock rallies 15%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://yahoofinance.com/article/29282,Yahoo Finance,2025-05-06T13:23:50Z,positive,0.8664789652253831,0.5928947711295324,0.19907268262795091,0.20803254624251655,flat,3155748,-0.08951180398567664,328148229788.54333,Alphabet Inc.,TSLA
2025-07-07,"Amazon misses revenue targets, shares decline","Amazon misses revenue targets, shares decline according to Reuters analysis.","Amazon misses revenue targets, shares decline. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://reuters.com/article/44016,Reuters,2025-07-07T13:23:50Z,negative,0.226492002738517,0.16736042635017245,0.6597541036305749,0.17288547001925275,down,39837023,-0.01119606429911807,603454370454.12,Advanced Micro Devices,META
2025-07-01,Adobe reports strong subscription growth,Adobe reports strong subscription growth according to Reuters analysis.,Adobe reports strong subscription growth. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://reuters.com/article/35053,Reuters,2025-07-01T13:23:50Z,positive,0.7187076172774389,0.7510456673061767,0.13419559361053235,0.11475873908329094,up,30122503,0.05811528222100154,334294789226.77295,Verizon Communications,META
2025-06-22,"Netflix loses subscribers, stock crashes 25%","Netflix loses subscribers, stock crashes 25% according to TheStreet analysis.","Netflix loses subscribers, stock crashes 25%. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.",https://thestreet.com/article/81907,TheStreet,2025-06-22T13:23:50Z,negative,0.2620941383730377,0.2189471828709937,0.684296086379048,0.09675673074995819,flat,47982977,0.07873760572220714,1753654507886.737,Oracle Corporation,GOOGL
2025-07-04,Oracle posts better-than-expected earnings,Oracle posts better-than-expected earnings according to Motley Fool analysis.,Oracle posts better-than-expected earnings. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/81315,Motley Fool,2025-07-04T13:23:50Z,positive,0.6949752282046322,0.6325713130714931,0.1839239501777086,0.18350473675079837,flat,3244702,0.0295328103615681,1131451186298.6248,Alphabet Inc.,TSLA
2025-05-31,Goldman Sachs reports quarterly results,Goldman Sachs reports quarterly results according to Motley Fool analysis.,Goldman Sachs reports quarterly results. The company reported significant changes in their quarterly performance. Analysts expect this to impact the stock price in the coming weeks.,https://motleyfool.com/article/49915,Motley Fool,2025-05-31T13:23:50Z,neutral,0.47025542502909196,0.259252317012859,0.3453048656965413,0.3954428172905997,flat,35809996,-0.10826514175708143,202488411428.7571,NVIDIA Corporation,AMZN
